term,beta_fe,se_fe,beta_re,se_re
Year2005,-177109.24016953426,222136.44126543432,2664751.8101959466,194717.60974751072
Year2006,-3276424.3130701324,229780.47842632764,-505373.19104236434,158562.7957354673
Year2007,-4005880.254738948,238008.89378299593,-1248506.7108917001,134946.2662210243
mv_scaled,131178.97539473532,165968.96039010628,594196.7867639062,80731.59487706468
