alternative,mean_prob_logit,mean_prob_probit
CT,0.42800000000000105,0.4280680422338398
OJT,0.15000000000000047,0.15027259687071504
JSA,0.22066666666666643,0.22045686878684914
Other,0.20133333333333317,0.20120249210859562
