term,beta_ols,se_ols,beta_iv,se_iv,t_ols,t_iv,p_ols,p_iv
Pepsi* Store1,0.03136917327614697,0.024301892439668873,0.027934624989072177,0.026472546938115033,1.290811954419727,1.0552299729366823,0.19687712131821825,0.2914126200833981
Pepsi* Store2,0.8336937811824612,0.02456160444022235,0.8630597609845836,0.028737644950800195,33.94296912530662,30.032376085868226,2.552610339562204e-211,1.1003152038485e-171
Pepsi* Store3,1.0860530273577922,0.02446527312370625,1.1216778137884091,0.029544543562625755,44.39161671591695,37.96565045626045,0.0,4.324301799694255e-254
Pepsi* Store4,1.5011630897896424,0.024735391331014153,1.560726890819808,0.034400513419044994,60.688875696396536,45.36929062098678,0.0,0.0
Pepsi* Store5,1.0587837117216168,0.024560197195775593,1.1194036059215051,0.03449041770507736,43.109739847843315,32.455495769676254,7.980625797227e-311,5.508442999960431e-196
Pepsi* Store6,0.7652779128618192,0.024423007558444364,0.7948249953653175,0.028621563364269288,31.334302748361594,27.770146069573705,1.2477220064786157e-184,7.153891492556721e-150
Pepsi* Store7,0.7510066157485227,0.024763990317790942,0.7942069458182601,0.03110529762980601,30.326559092901302,25.5328515184252,1.3805351056511115e-174,2.94371842699396e-129
Coke* Store1,0.5149499132406987,0.024308197187582845,0.5262692515373999,0.02676205231004638,21.184208325566253,19.664756851993758,2.0983135821855783e-92,1.1340309485055223e-80
Coke* Store2,1.1196934275416055,0.024730186692910352,1.1676805407433335,0.031969114288887025,45.276383936988196,36.52527030281968,0.0,1.399175585300175e-238
Coke* Store3,1.1839725802423686,0.024362568315669516,1.2136513755962284,0.028578170232033146,48.5980199173361,42.46777752887243,0.0,1.1876898169160221e-303
Coke* Store4,1.383168926348631,0.02477728347698746,1.4634666647929464,0.03950930256700712,55.82407480760693,37.04106551389844,0.0,4.117575202386748e-244
Coke* Store5,0.9187376529856124,0.024493759444651358,0.9676928388699366,0.031943463328513326,37.509050215900395,30.293923639962863,3.7477727429484193e-249,2.9014950590966355e-174
